Número de items: 10000
Limite de peso: 1765326

ITEM                 PESO      VALOR
-------------- ---------- ----------
X8666                 982        393
X8987                 965        385
X6659                 962        389
X4071                 961        392
X2753                 958        386
X6322                 956        384
X9718                 956        382
X4029                 954        383
X858                  953        394
X6349                 953        390
X1191                 953        383
X3578                 951        394
X8396                 951        387
X1545                 947        388
X6644                 946        377
X5729                 945        399
X1359                 945        398
X402                  945        386
X6806                 941        384
X7284                 940        389
X6771                 939        400
X1439                 939        397
X3610                 938        376
X4644                 936        375
X7368                 933        377
X9270                 932        377
X4259                 930        388
X1494                 929        373
X5166                 929        373
X6536                 928        399
X4139                 928        388
X6957                 926        374
X6741                 926        369
X134                  924        377
X8754                 924        374
X4910                 924        369
X4070                 923        377
X6391                 922        383
X7144                 920        387
X7593                 920        382
X8270                 918        391
X672                  916        391
X5860                 916        387
X5160                 915        388
X6383                 915        380
X5735                 915        379
X2694                 915        376
X8710                 915        367
X9498                 913        386
X4439                 913        364
X4618                 911        386
X5002                 911        376
X7449                 908        369
X3052                 906        371
X4085                 906        364
X604                  905        389
X8676                 905        365
X5822                 904        389
X8434                 904        376
X5072                 903        367
X5257                 902        391
X348                  902        385
X3504                 901        387
X2262                 901        382
X4405                 900        393
X7079                 898        399
X2821                 898        398
X5171                 898        382
X1695                 898        368
X9833                 897        384
X1958                 897        377
X9991                 897        369
X4127                 895        381
X3360                 894        389
X9424                 893        371
X4794                 893        362
X5159                 891        394
X4724                 891        391
X3683                 891        387
X6742                 890        374
X6190                 890        365
X2737                 889        387
X3964                 889        386
X8910                 887        398
X3309                 886        381
X8867                 886        381
X4050                 886        355
X4524                 886        353
X8514                 885        383
X1218                 884        400
X6594                 882        362
X2766                 881        374
X5016                 881        356
X7188                 880        398
X8488                 880        352
X4660                 879        393
X1402                 879        374
X7178                 878        392
X7304                 878        385
X4279                 877        395
X8393                 877        390
X5638                 877        386
X2993                 875        377
X5095                 875        377
X9571                 874        373
X9980                 873        393
X5387                 873        388
X7653                 873        370
X8081                 873        351
X8301                 872        360
X7393                 871        391
X956                  871        381
X96                   871        355
X1585                 870        382
